"Year","Domain","Category","visits","desktop visits","mobile visits","desktop share","mobile share","direct","paid","referral","search","social","unknown channel","bounce rate","desktop bounce rate","mobile bounce rate","pages per visit","desktop pages per visit","mobile pages per visit","time on site","desktop time on site","mobile time on site","Ticker"
2020,"amazon.com","General",2962609675.66666,1545700625.41666,1416909050.25,0.516254527560909,0.48374547243909,1658858574.41666,58369361.8333333,468875199.916666,701274347.583333,74495138,0,0.325440119881255,0.236027435950443,0.422021494924358,7.59186157257415,8.45241092947267,6.65051153771908,769.833333333333,829.5,692.166666666666,"G"
2020,"walmart.com","General",508664733.666666,134914778.75,373749954.916666,0.26032614890633,0.739673851093669,271342816,46545610.25,81410341.25,100968694.333333,8077450.66666666,0,0.467354064020303,0.313431599404787,0.519410129568043,4.05563511838023,6.14126566526705,3.34215512719769,548.333333333333,620.25,519.583333333333,"G"
2020,"microsoft.com","Electronics and Technology Retailer",290982487.25,215576149.083333,75406338.1666666,0.731255515275628,0.268744484724371,87744017.25,1029021.91666666,60008183.1666666,113562737.416666,28751286.5833333,0,0.533972972630635,0.555522617265354,0.469900088261724,2.90848565252067,2.79681451193098,3.27541601340196,599.5,691.416666666666,364.333333333333,"ETR"
2020,"homedepot.com","Home Improvement and Cleaning Products Retailer",265992430.25,81955289.5,184037140.75,0.301413107986411,0.698586892013588,134243555.083333,20386584.5,36234635.5,71025309,3994942.58333333,0,0.453555263685941,0.304486819889458,0.51677900869622,3.96436466152169,5.05268046473974,3.49523677336943,576.25,607.416666666666,559.583333333333,"HICPR"
2020,"etsy.com","Home Improvement and Cleaning Products Retailer",247112518.25,94089745.25,153022773,0.374079536574924,0.625920463425075,128425179.416666,25718788.3333333,34081681.75,48195631.25,10685768.5,0,0.428734184644508,0.263820222742698,0.524738418341045,5.30034941954314,7.24412225573215,4.17229510679041,679.416666666666,784.583333333333,610.5,"HICPR"
2020,"apple.com","Electronics and Technology Retailer",222535886.666666,154252934.583333,68282952.0833333,0.686280569057872,0.313719430942127,74704649.3333333,231752.833333333,34018441.9166666,107614279.5,5863816.75,0,0.565878637783368,0.559366670466825,0.582246949512741,2.81938451219264,3.02842669440566,2.34017035081777,530.916666666666,597,382.416666666666,"ETR"
2020,"target.com","General",209980873.916666,59132097.25,150848776.666666,0.27378602925691,0.726213970743089,112907439.833333,17231015.1666666,32012570.8333333,44176768.6666666,3761505.75,0,0.510988594114546,0.458335424480791,0.52765975508556,3.14293005423228,4.19384457913356,2.79345312089234,488.916666666666,662.583333333333,417.916666666666,"G"
2020,"bestbuy.com","Electronics and Technology Retailer",200946004.416666,68807833.75,132138170.666666,0.328489704753774,0.671510295246225,106990847.833333,16149637.0833333,28304234.4166666,47035994.0833333,2225432.58333333,0,0.433733560449293,0.328645388852843,0.484985115688017,3.6959365534473,4.76838217621349,3.16410832588673,546.916666666666,673.25,482.333333333333,"ETR"
2020,"lowes.com","Home Improvement and Cleaning Products Retailer",157373727.916666,37054239.5,120319488.416666,0.230046490128167,0.769953509871832,86369749.9166666,17607916.5833333,18392994.3333333,33429659.4166666,1394286.33333333,0,0.43227626994089,0.232438402881044,0.490427921860405,4.14367894020455,6.14554366663165,3.56806199453488,528.416666666666,545.166666666666,521.666666666666,"HICPR"
2020,"wayfair.com","Home Improvement and Cleaning Products Retailer",121642142.833333,28604481.5,93037661.3333333,0.230854067918716,0.769145932081283,62836046.3333333,12908316.8333333,22639350,20200966.8333333,3062485.75,0,0.49710293258543,0.373455462467402,0.532784647230698,4.18566525912349,5.31649913352064,3.8823531855959,626.666666666666,706.083333333333,605.666666666666,"HICPR"
2020,"kohls.com","General",90561422.25,17140224.25,73421198,0.184070556640014,0.815929443359985,54882708.8333333,8190141.66666666,12539929.5,14121066.3333333,981786.5,0,0.387517496942049,0.241805497242808,0.418078570353958,5.43989469269861,8.80872686158125,4.69429853033563,534.583333333333,643.166666666666,507.166666666666,"G"
2020,"macys.com","General",90476132.5833333,22902225.5833333,67573907,0.250007049949996,0.749992950050003,51065185.75,5946291,17266378.9166666,14877246.25,1366525.16666666,0,0.450991229814506,0.254310526614591,0.516212588698909,4.76740039585025,6.69157412869261,4.1144373000461,614.666666666666,588.25,621.666666666666,"G"
2020,"costco.com","General",86143956.9166666,31183991.0833333,54959965.8333333,0.353031099327412,0.646968900672587,55770760.4166666,96123.0833333333,5442547.41666666,23980876.5,848914.25,0,0.364987463999925,0.237425419549652,0.436514251600084,4.83112043554602,6.43919562697272,3.89198181277134,488.916666666666,538.583333333333,456.333333333333,"G"
2020,"walgreens.com","Health Services and Pharamceutical Products Retailers",72522223.5,13934561.5833333,58587661.9166666,0.190904316765468,0.809095683234531,50587820.5833333,2233397.41666666,3535880.66666666,15501707.4166666,690449.416666666,0,0.379316181425095,0.291544378607066,0.399217282340076,3.89316636738565,5.84485992581792,3.44207368915993,381.083333333333,545.166666666666,341.666666666666,"HSPPR"
2020,"cvs.com","Health Services and Pharamceutical Products Retailers",69948250.3333333,12926752.5,57021497.8333333,0.182800079743961,0.817199920256038,47728736.8333333,1102655.58333333,3487914.25,17092847.1666666,566704.583333333,0,0.354185493816674,0.383405933781395,0.346296275886912,3.42461157313282,3.89060304367624,3.32537255218101,259.833333333333,385.25,230.25,"HSPPR"
2020,"play.google.com","Media, Education and Entertainment Products Retailer",60729800.8333333,9312600.75,51417200.0833333,0.155384842238303,0.844615157761696,30209788,3474.83333333333,26440875.25,815195.416666666,3886101.25,0,0.436730835704084,0.261508573655094,0.467957550902581,4.73935037722147,7.02984746158543,4.34393795960575,527.75,1250.83333333333,397.75,"MEEPR"
2020,"gap.com","Clothing, Shoes, Jewelery, Watch and Accessories Retailer",50572377.75,12808464.4166666,37763913.3333333,0.249679207791008,0.750320792208992,24885410.8333333,3368159.08333333,9708281.58333333,11352267.1666666,1165227.66666666,0,0.341112127428735,0.211955809425245,0.383819205696902,6.77087919364143,9.48454276754671,5.86760609869541,567.083333333333,692.25,523.916666666666,"CSJWAR"
